iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
205,492000,-25.0,0.0,2.25,3.38,-6.25,1.38,1.268,0.1213,-0.0331,0.37
206,494400,-30.38,0.0,1.75,6.75,-7.59,1.25,1.304,0.2817,0.0142,0.332
207,496800,-35.62,0.0,1.25,5.75,-8.84,1.25,1.316,0.2564,-0.1002,0.596
208,499200,-29.38,0.125,2.88,6.0,-7.34,1.25,1.318,0.23,-0.0312,0.39
209,501600,-36.0,0.0,1.75,7.5,-9.0,1.5,1.323,0.3051,0.0483,0.441
210,504000,-18.38,0.0,3.12,2.62,-4.59,1.38,1.322,0.1211,-0.1628,0.404
211,506400,-30.38,0.0,2.0,6.38,-7.59,1.25,1.312,0.1829,-0.0052,0.314
212,508800,-25.5,0.0,2.5,4.25,-6.38,1.25,1.291,0.1791,-0.0404,0.302
213,511200,-17.25,0.25,4.0,3.5,-4.25,1.38,1.269,0.1945,-0.1095,0.619
214,513600,-47.5,0.0,1.25,8.5,-11.8,1.25,1.251,0.3391,0.0317,1.035
215,516000,-14.88,0.125,5.38,3.38,-3.72,1.5,1.215,0.2857,-0.1094,0.69
216,518400,-32.88,0.0,4.62,8.25,-8.22,1.62,1.2,0.1735,0.0643,0.452
217,520800,-22.88,0.0,2.12,4.38,-5.66,1.25,1.233,0.1449,-0.0293,0.445
218,523200,-32.75,0.0,3.0,7.0,-8.19,1.38,1.23,0.2503,-0.0406,0.458
219,525600,-29.12,0.0,1.5,5.88,-7.28,1.12,1.252,0.1661,0.0371,0.25
220,528000,-30.62,0.125,2.5,8.25,-7.53,1.25,1.254,0.2377,0.0631,0.385
221,530400,-28.62,0.125,2.25,4.75,-7.16,1.12,1.267,0.2593,0.0351,0.319
222,532800,-40.12,0.0,1.75,9.88,-10.03,1.25,1.277,0.3431,0.1131,0.568
223,535200,-24.5,0.125,4.5,7.0,-6.12,1.38,1.27,0.2537,-0.0041,0.493
224,537600,-34.62,0.0,2.12,9.0,-8.66,1.12,1.284,0.2519,0.0925,0.45
225,540000,-24.38,0.25,6.25,5.38,-5.77,1.5,1.264,0.2912,-0.0399,0.369
226,542400,-9.5,0.5,9.38,3.62,-2.31,1.62,1.256,0.4261,-0.0541,0.977
227,544800,-43.62,0.0,0.62,6.62,-10.77,1.12,1.276,0.2702,0.0367,0.68
228,547200,-41.12,0.0,1.75,7.25,-10.25,1.25,1.259,0.2151,0.0371,0.678
229,549600,-42.0,0.0,2.0,6.25,-10.48,1.25,1.262,0.2563,-0.0663,0.694
230,552000,-29.5,0.125,2.38,4.0,-7.25,1.12,1.264,0.1561,0.0375,0.362
231,554400,-37.25,0.0,1.5,8.25,-9.31,1.25,1.25,0.2442,0.0431,0.376
232,556800,-29.0,0.25,4.38,7.0,-7.11,1.25,1.254,0.3135,0.1309,0.534
233,559200,-32.12,0.0,1.5,4.88,-7.95,1.12,1.264,0.1676,-0.0205,0.354
234,561600,-24.0,0.25,5.12,7.62,-5.98,1.5,1.247,0.2671,-0.0278,0.467
235,564000,-26.0,0.125,3.88,6.25,-6.5,1.25,1.251,0.2026,0.0238,0.495
236,566400,-39.0,0.0,1.12,8.75,-9.75,1.25,1.247,0.2432,0.0851,0.461
237,568800,-33.5,0.125,5.38,11.25,-8.31,1.5,1.235,0.3795,0.0149,0.445
238,571200,-29.62,0.0,1.62,7.62,-7.28,1.12,1.263,0.2168,0.0141,0.437
239,573600,-35.62,0.0,2.75,9.75,-8.91,1.38,1.245,0.3021,0.016,0.418
240,576000,-19.75,0.25,6.12,4.75,-4.94,1.5,1.245,0.3448,0.0228,0.561
241,578400,-32.75,0.0,1.62,5.12,-8.19,1.12,1.259,0.1579,0.034,0.295
242,580800,-43.38,0.0,3.0,11.75,-10.84,1.5,1.245,0.3332,-0.0335,0.73
243,583200,-27.62,0.0,2.88,6.25,-6.91,1.25,1.258,0.2352,-0.0069,0.313
244,585600,-38.88,0.0,5.0,11.88,-9.66,1.75,1.24,0.4413,-0.0403,0.637
245,588000,-30.75,0.0,2.12,6.12,-7.62,1.25,1.242,0.2577,0.0036,0.38
246,590400,-21.12,0.25,6.62,6.62,-5.14,1.5,1.196,0.2949,0.0002,0.426
247,592800,-42.5,0.0,1.25,10.38,-10.62,1.12,1.211,0.2891,0.0444,0.34
248,595200,-28.75,0.125,5.0,6.0,-7.06,1.62,1.158,0.2365,-0.0341,0.335
249,597600,-19.62,0.25,6.12,6.12,-4.91,1.38,1.175,0.3079,0.0187,0.798
250,600000,-14.75,0.25,8.25,6.62,-3.44,1.75,1.139,0.272,-0.0635,0.627
