game,opp_id,won,my_score,opp_score,t,total,ours,opp,uncertain,dead,created_exposed,own_half_exposed,cfg_margin,cfg_future_seed,cfg_created_near_tent_r,cfg_farm_r,raw
895549991,boss,False,221.0,256.0,190,329,60,95,174,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,195,335,84,227,24,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,200,318,60,214,44,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,205,327,20,135,172,0,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,210,327,20,223,84,0,4,84,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,215,318,68,210,40,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,220,322,20,77,225,0,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,225,330,20,154,156,0,4,84,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,230,334,68,226,40,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,235,323,80,243,0,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,240,304,44,240,20,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,245,312,44,216,52,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,250,298,40,206,52,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,255,290,20,154,116,0,0,60,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,260,302,24,38,240,0,0,60,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,265,290,40,206,44,0,4,44,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,270,298,0,154,144,0,8,88,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,275,302,20,154,128,0,0,60,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,280,302,44,151,107,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,285,299,20,132,127,20,4,64,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,290,303,0,135,8,160,8,88,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,295,311,0,38,37,236,12,92,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,300,300,0,0,0,300,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895550010,boss,False,244.0,324.0,5,278,97,60,121,0,0,89,3,1,2,2,data/boss5_games/boss/game_895550010.raw
