agent_id,from_epoch,to_epoch,from_score,to_score,score_delta,games,wins,losses,ties,net_wins,opponent_score_mean,internal,outcome_complete,next_games,next_wins,next_losses,next_ties,next_net_wins,next_opponent_score_mean,next_outcome_complete
6479914,1,2,24.016316359965998,22.959237492284316,-1.0570788676816818,1,0,1,0,-1,26.30605586442285,True,True,73,35,38,0,-3,23.6880618880273,True
6479914,2,3,22.959237492284316,22.69542120341477,-0.26381628886954545,73,35,38,0,-3,23.6880618880273,True,True,4,1,3,0,-2,23.035760298622517,True
6479914,3,4,22.69542120341477,22.959237492284316,0.26381628886954545,4,1,3,0,-2,23.035760298622517,True,True,43,20,23,0,-3,23.77312218505772,True
6479914,4,5,22.959237492284316,23.046177816619505,0.08694032433518828,43,20,23,0,-3,23.77312218505772,True,True,1,1,0,0,1,22.1704616509147,True
6479914,5,6,23.046177816619505,23.265749499907404,0.21957168328789933,1,1,0,0,1,22.1704616509147,True,True,2,2,0,0,2,20.747479604840763,False
6480507,0,1,21.488650767291645,20.546536693276355,-0.94211407401529,8,2,6,0,-4,21.295535325750066,False,False,1,0,1,0,-1,21.27007197756556,True
6480507,1,2,20.546536693276355,21.105634859892593,0.5590981666162378,1,0,1,0,-1,21.27007197756556,True,True,1,0,1,0,-1,26.30605586442285,True
6480507,2,3,21.105634859892593,21.488650767291645,0.3830159073990522,1,0,1,0,-1,26.30605586442285,True,True,45,26,19,0,7,22.20595645628517,True
6480507,3,4,21.488650767291645,21.411034513441166,-0.07761625385047921,45,26,19,0,7,22.20595645628517,True,True,2,0,2,0,-2,23.035760298622517,True
6480507,4,5,21.411034513441166,21.488650767291645,0.07761625385047921,2,0,2,0,-2,23.035760298622517,True,True,24,7,17,0,-10,24.985990945744255,True
6480507,5,6,21.488650767291645,21.062351378348716,-0.4262993889429296,24,7,17,0,-10,24.985990945744255,True,True,6,4,2,0,2,22.357853280285056,True
6480507,6,7,21.062351378348716,21.488650767291645,0.4262993889429296,6,4,2,0,2,22.357853280285056,True,True,19,9,10,0,-1,21.211653661826904,True
6480507,7,8,21.488650767291645,20.904824779650497,-0.5838259876411485,19,9,10,0,-1,21.211653661826904,True,True,1,0,1,0,-1,22.1704616509147,True
6480507,8,9,20.904824779650497,21.488650767291645,0.5838259876411485,1,0,1,0,-1,22.1704616509147,True,True,27,16,11,0,5,21.121328421803646,False
6480515,0,1,22.902166103919974,23.40396685071173,0.5018007467917549,4,1,3,0,-2,23.90235741952245,False,False,1,0,1,0,-1,23.802451822222054,True
6480515,1,2,23.40396685071173,23.146157676691868,-0.2578091740198616,1,0,1,0,-1,23.802451822222054,True,True,1,0,1,0,-1,26.30605586442285,True
6480515,2,3,23.146157676691868,22.902166103919974,-0.24399157277189332,1,0,1,0,-1,26.30605586442285,True,True,72,41,31,0,10,23.64925386527348,True
6480515,3,4,22.902166103919974,23.42918896831331,0.5270228643933343,72,41,31,0,10,23.64925386527348,True,True,1,1,0,0,1,23.035760298622517,True
6480515,4,5,23.42918896831331,22.902166103919974,-0.5270228643933343,1,1,0,0,1,23.035760298622517,True,True,58,17,41,0,-24,24.526646214246846,True
6480515,5,6,22.902166103919974,22.785265160439153,-0.1169009434808217,58,17,41,0,-24,24.526646214246846,True,True,7,3,4,0,-1,22.1704616509147,True
6480515,6,7,22.785265160439153,22.981735400747198,0.19647024030804516,7,3,4,0,-1,22.1704616509147,True,True,6,4,2,0,2,21.144734868126374,False
6480516,0,1,21.94632714910374,23.780687501765644,1.8343603526619034,16,5,11,0,-6,23.73435196837096,False,False,1,1,0,0,1,20.143510698463064,True
