agent_id,pseudo,games,seat0,seat1,active,current_rank,current_score,primary_eligible,control_min,raw_mean_margin,raw_win_rate,mean_margin_residual,ci_low,ci_high,mean_win_residual,raw_p,holm_p,actionable,failed_actionability_gates
6565556,Bubaptik,1,0,1,False,,,False,,-13.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6565654,Bubaptik,1,0,1,False,,,False,,-31.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6566050,FreZzz,7,3,4,False,,,False,,-9.428571428571429,0.2857142857142857,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6566077,IlyaPol,1,1,0,False,,,False,,26.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6566112,FreZzz,3,1,2,False,,,False,,-12.0,0.3333333333333333,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6566509,Bubaptik,1,1,0,False,,,False,,-21.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6567585,Bubaptik,1,0,1,False,,,False,,-14.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6567667,Bubaptik,2,1,1,False,,,False,,-52.5,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6567772,Bubaptik,2,0,2,False,,,False,,-50.5,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6567909,Bubaptik,1,1,0,False,,,False,,-34.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6568027,FreZzz,4,2,2,False,,,False,,3.0,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6568324,FreZzz,5,2,3,False,,,False,,9.6,0.6,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6568588,FreZzz,3,1,2,False,,,False,,-40.666666666666664,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6579750,FreZzz,5,4,1,False,,,False,,-9.4,0.4,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6580001,goq,5,2,3,True,54,20.44,False,5,43.2,0.8,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6580130,FreZzz,5,4,1,False,,,False,,-7.8,0.2,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6581650,FreZzz,5,2,3,False,,,False,,7.6,0.4,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6582020,FreZzz,9,5,4,False,,,False,,-19.555555555555557,0.3333333333333333,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6582186,FreZzz,8,4,4,True,51,21.05,False,2,-1.125,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
