variant_leg,leg,game_id,deployed_variant,deployed_first_mismatch_turn,seat,opponent_agent_id,opponent_submission_id,margin,win,catastrophe,initial_fingerprint,static_fingerprint,current_apple_activation_turn,apple_idle_activation_turn,banana_activation_turn,banana_idle_activation_turn,starter_base_verb,starter_base_command,starter_cell,mother_cell,starter_to_mother_turns,enemy_eta,apple_enemy_kill_eta,banana_enemy_kill_eta,apple_kill_safe,banana_kill_safe,apple_first_bank_eta,banana_first_bank_eta,apple_payback_safe,banana_payback_safe,apple_projected_banked_fruit,banana_projected_banked_fruit,bank_apple,bank_banana,actual_mother_planted,actual_first_plant_turn,actual_first_harvest_turn,actual_first_bank_turn,actual_banked_fruit,actual_harvested_fruit,actual_mother_survived
leg-01-no-orchard,1,897937986,no-orchard,,0,6479532,40709510,304,True,False,3ee39d0f96dc09fd54d9d53fe82dd4a071012e4cb708de0d8f7b5256b8680a68,451a3f473dbfa1005a2e07582c18928a511f7c29c2f0cd5ae8cf4a0f86af9540,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937995,no-orchard,217,1,6512040,40851046,-19,False,False,837021ebea5ae205112ad7d1b6cb8cdd96c2d2f5c55e00717dd9c6c5750874b4,090916d27e0e0c2e2ed3180ca6d5049194d98c19dbeef8dddc2b9ec4b065e10e,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938004,no-orchard,,1,6481143,40706379,24,True,False,14cb68fd5a4361d051e70219925746e54db665b617ca6d67e414ed116ff85a0a,dc73ce06de1b7655deeeeb5ba10acb6606efa7867064fec16e693c104198f9b4,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938022,no-orchard,,1,6481143,40706379,54,True,False,8d610bd873ad84c3f9449a41258208ed6969b54a3e4c252de6ced6ecad9eebec,59b8e3d2c13e396dca1811e9d572d865c8d1be0bbbb5423d1d4fcf91e178e493,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938031,no-orchard,179,1,6481143,40706379,157,True,False,803c58876f9179fb1b87a66ed0780ea5696affc58b6bf977e63b810cff55fe67,009a57623d8cf328e6e38817cf9402c72aa24e487d67307a5595d2ef03ed0b58,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938079,no-orchard,59,0,6480516,40707262,-96,False,False,29d485d1367c171461ad5b2a0db78613e146056a028cf78ef31e162d7347c31e,fe5f06197b0ac721c9b3dcb003d8ae5f9d6475fef795cb47a2af506f00b561f4,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938109,no-orchard,104,1,6479385,40706460,88,True,False,bc3f46fe48c772f735cd5bb873dd2043d280718e8b5f918d593da971164e27d5,34258b32114ce28b5d0262d7ff6035b6502b36eda7b744d902bd11918b341f8f,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938115,no-orchard,91,1,6479814,40706161,4,True,False,d62f596aeb5a5fd2b8fefb08202844c7143435746222737bd97ead4df65d50b7,0342c2150d48b42c577f7280d2dc897b8dd83bac6a3c511f2bc5cddbaa5f51ad,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938123,no-orchard,58,0,6481139,40709105,115,True,False,b54b0bf073af85645db62558a46c6632a14183401a7cc2c7688ef97cf9a11f6c,9fb44d7dfbca46a483d65f5ba43864b27af98867b4a4cd11f39930dc96fcf7e5,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938132,no-orchard,,0,6481139,40709105,177,True,False,6f65df5d0fb2fcc566d9368a5823ee2d1e1e8a49f1f27bbb7907f6900d443522,c891e846cce58c91bd073b5d1232def419db4a3b4e9468157d5ceca220040c19,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938142,no-orchard,,1,6479420,40708915,-96,False,False,d379811378277697b3cd90739d40fd6185d1b0876303c409c9903c8e86c4d71e,43ab32f51d44cfd940d67580ab61a379f40d049555501bd493763496db4af810,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938149,no-orchard,,1,6512040,40851046,-38,False,False,3b17a423d4251205fb148b23a66aa696475c01c9196e33fc898f6564bdab97fb,7446dfbad601fd82b4e6b20f40637f0b6e451ec2a282c045ce31387e1755856f,,,,,,,,12:3,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938161,no-orchard,15,1,6479385,40706460,153,True,False,ddf14beaaaa2443708e2690b938827f3a6613b5f76ff3683b54e54f73e73c1a5,80d3c59af50d4a4a3968b383d088f9c57bfe92a2d39a667d81ef81fbe4502bb8,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938172,no-orchard,,0,6479532,40709510,192,True,False,9342d1e543d1d200539eac051eed4fe9ab7b893ed2c6ef2abe731a3f29a296a5,b903322606d6dd39d60ecd300de390eda15ed9b427921d0183696f88d1d38395,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938185,no-orchard,,1,6479385,40706460,79,True,False,c53c9e5270882eaab8aded3e8b9bd5bf192a7f5198febbfe4137ecc809b5ab74,26eaa80a452d7c62dd4d0c26877c20de46b7829179480724c6b9e94ad9ceb499,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938193,no-orchard,,0,6481270,40705977,27,True,False,02ed84e8cd38a8ba8fb608dbf13f22ba562bd8a6c442c9f4e2f321819250d803,8b177f49723d3a3d1f3b4ac30c8bbc30cd05afe68c8041106f765f27f4ddb820,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938200,no-orchard,,1,6482016,40751228,0,False,False,4c31633433faa236d4fb7d4c95b397347662019ab5c57d1022774021a16fddbc,387432b6b2f86934f6ce8b0b84129c9680a8e709c2987588da0f8207c260fcfa,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897938205,no-orchard,,0,6481139,40709105,-46,False,False,123ca4853b951ea6d471ade89fe7ab2a7560465231272f2e3d0a2b0f73852618,99e7cde85b9919decee53aeee799d6171f8ddd97c67dc2e132844005af10d5a3,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
