seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
89,1,300,173,268,9,41,8,65,0,0
90,0,215,208,157,12,49,9,37,0,0
90,1,193,200,179,12,47,11,42,0,0
91,0,300,216,381,12,51,21,90,0,0
91,1,300,206,395,10,49,11,96,0,0
92,0,300,160,276,8,38,12,66,0,0
92,1,300,148,288,4,36,12,69,0,0
93,0,202,177,252,5,43,12,60,0,0
93,1,239,193,274,9,46,14,65,0,0
94,0,300,195,281,3,48,17,66,0,0
94,1,253,164,241,12,38,17,56,0,0
95,0,276,190,66,18,43,10,14,0,0
95,1,289,210,89,18,48,9,20,0,0
96,0,279,117,219,1,29,3,54,0,0
96,1,254,112,189,0,28,5,46,0,0
97,0,273,138,231,14,31,15,54,0,0
97,1,231,114,197,14,25,13,46,0,0
98,0,205,234,222,10,56,14,52,0,0
98,1,189,222,215,10,53,15,50,0,0
99,0,300,172,305,0,43,9,74,0,0
99,1,300,163,325,3,40,9,79,0,0
100,0,254,177,295,5,43,7,72,0,0
100,1,300,168,258,0,42,10,62,0,0
101,0,300,120,175,12,27,11,41,0,0
101,1,300,142,206,10,33,14,48,0,0
102,0,198,163,150,11,38,14,34,0,0
102,1,240,190,195,6,46,15,45,0,0
103,0,168,137,123,9,32,11,28,0,0
103,1,218,161,185,1,40,13,43,0,0
104,0,261,164,94,12,38,10,21,0,0
104,1,249,152,68,12,35,12,14,0,0
